epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3265,1.46172,2.12928,1.77285,0.79185,0.69388,0.76784,0.32765,1.63997,2.14108,2.24841,0.000660377,0.000660377,0.000660377
2,100.144,1.52163,1.7748,1.78985,0.78225,0.7551,0.81049,0.36936,1.76879,1.67299,2.21197,0.00132048,0.00132048,0.00132048
3,147.682,1.56333,1.64981,1.82856,0.57665,0.67347,0.69112,0.29487,1.82475,1.61633,2.30819,0.00197397,0.00197397,0.00197397
4,191.701,1.56265,1.56165,1.82205,0.7293,0.59184,0.70402,0.29717,1.94781,1.56604,2.29961,0.0019703,0.0019703,0.0019703
5,237.473,1.55937,1.46836,1.79977,0.85344,0.63265,0.80947,0.41135,1.65589,1.29556,2.01684,0.0019604,0.0019604,0.0019604
6,280.723,1.46885,1.43802,1.73704,0.65656,0.57143,0.67492,0.32187,2.05109,1.43138,2.4849,0.0019505,0.0019505,0.0019505
7,326.452,1.486,1.43756,1.74312,0.78202,0.81633,0.88656,0.44401,1.70227,1.26037,2.01782,0.0019406,0.0019406,0.0019406
8,370.671,1.45114,1.36386,1.7084,0.87976,0.74675,0.87017,0.4548,1.54598,1.29236,1.9261,0.0019307,0.0019307,0.0019307
9,414.524,1.40203,1.33838,1.66919,0.6654,0.61224,0.60227,0.26675,2.12073,1.69496,2.62661,0.0019208,0.0019208,0.0019208
10,460.304,1.38558,1.31393,1.66508,0.92626,0.76914,0.89996,0.50801,1.56365,1.05187,1.96902,0.0019109,0.0019109,0.0019109
11,503.188,1.40098,1.30214,1.66552,0.93049,0.81963,0.94209,0.51632,1.53761,1.05227,1.88814,0.001901,0.001901,0.001901
12,550.779,1.37216,1.30803,1.65092,0.84055,0.77551,0.87537,0.49658,1.44813,1.07158,1.86548,0.0018911,0.0018911,0.0018911
13,593.459,1.39495,1.29849,1.65432,0.8365,0.81633,0.91797,0.49886,1.57673,1.07036,1.95577,0.0018812,0.0018812,0.0018812
14,639.798,1.37404,1.26301,1.64656,0.82584,0.85714,0.92699,0.47719,1.52542,1.13055,1.90324,0.0018713,0.0018713,0.0018713
15,682.609,1.366,1.24551,1.63474,0.8782,0.83673,0.92766,0.50181,1.60121,1.00093,1.97469,0.0018614,0.0018614,0.0018614
16,726.67,1.33115,1.2241,1.61569,0.8323,0.81633,0.85987,0.50386,1.47373,1.07502,1.86889,0.0018515,0.0018515,0.0018515
17,772.284,1.31115,1.2016,1.59176,0.83131,0.80471,0.90228,0.49857,1.51621,1.0144,1.8637,0.0018416,0.0018416,0.0018416
18,814.723,1.31913,1.20302,1.60086,0.85979,0.75098,0.85987,0.53611,1.47501,1.06516,1.90086,0.0018317,0.0018317,0.0018317
19,860.777,1.32643,1.20084,1.61309,0.93109,0.82739,0.95484,0.57542,1.39199,0.89126,1.78334,0.0018218,0.0018218,0.0018218
20,904.309,1.30506,1.19441,1.59849,0.81342,0.81633,0.90425,0.51283,1.55951,1.02241,1.95412,0.0018119,0.0018119,0.0018119
21,948.424,1.31714,1.16901,1.60165,0.89551,0.8746,0.95508,0.57488,1.48068,0.80861,1.85278,0.001802,0.001802,0.001802
22,993.562,1.31533,1.17371,1.60461,0.94977,0.77181,0.92512,0.59802,1.29567,0.89757,1.70018,0.0017921,0.0017921,0.0017921
23,1036.74,1.27344,1.13577,1.5677,0.93916,0.83673,0.9481,0.54793,1.4658,0.88585,1.85294,0.0017822,0.0017822,0.0017822
24,1082.59,1.28209,1.14175,1.58717,0.88255,0.83673,0.90662,0.55083,1.43557,0.88315,1.84204,0.0017723,0.0017723,0.0017723
25,1125.78,1.27119,1.12635,1.56849,0.92981,0.83673,0.94161,0.55587,1.48735,0.81586,1.90376,0.0017624,0.0017624,0.0017624
26,1169.61,1.2799,1.1221,1.58234,0.85202,0.94008,0.96615,0.53667,1.49507,0.86932,1.91097,0.0017525,0.0017525,0.0017525
