epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.772,1.55772,2.4968,1.68304,0.89383,0.41641,0.42728,0.20742,1.91398,0.75653,2.04908,0.000545182,0.000545182,0.000545182
2,265.495,1.35184,0.86097,1.45128,0.91093,0.43878,0.44577,0.26706,1.44155,0.74133,1.64213,0.00108995,0.00108995,0.00108995
3,350.291,1.30774,0.8915,1.43378,0.9139,0.4415,0.47375,0.27138,1.47859,0.72403,1.64649,0.00162372,0.00162372,0.00162372
4,434.089,1.32407,0.88744,1.44126,0.95394,0.4023,0.44814,0.26164,1.44669,0.77404,1.6804,0.00161749,0.00161749,0.00161749
5,506.246,1.29019,0.90304,1.42527,0.9388,0.38776,0.42404,0.21256,1.8038,0.94013,1.98942,0.00160099,0.00160099,0.00160099
6,549.218,1.30218,0.91855,1.44055,0.94462,0.40963,0.46311,0.27458,1.43148,0.79738,1.6064,0.00158448,0.00158448,0.00158448
7,616.808,1.27372,0.9086,1.41328,0.96195,0.44898,0.4752,0.2674,1.53762,0.68712,1.77546,0.00156798,0.00156798,0.00156798
8,697.158,1.23946,0.83782,1.38103,0.94605,0.43878,0.46811,0.29987,1.32939,0.66479,1.56462,0.00155148,0.00155148,0.00155148
9,782.217,1.23513,0.83583,1.3915,0.94852,0.44459,0.46542,0.29048,1.34674,0.63804,1.63484,0.00153497,0.00153497,0.00153497
10,852.631,1.22651,0.83958,1.38284,0.90822,0.43878,0.46365,0.28897,1.44695,0.69375,1.67921,0.00151847,0.00151847,0.00151847
11,917.803,1.2118,0.8185,1.37009,0.93115,0.39796,0.44869,0.24882,1.56047,0.86487,1.66336,0.00150197,0.00150197,0.00150197
12,965.8,1.19456,0.81755,1.36756,0.95683,0.41837,0.46791,0.26684,1.57848,0.70786,1.7474,0.00148546,0.00148546,0.00148546
13,1040.75,1.1798,0.77051,1.353,0.9878,0.40816,0.47098,0.28353,1.4726,0.65542,1.70897,0.00146896,0.00146896,0.00146896
14,1120.89,1.18443,0.78076,1.35073,0.97666,0.43878,0.47386,0.29653,1.36935,0.64794,1.61054,0.00145246,0.00145246,0.00145246
15,1195.41,1.1239,0.74474,1.32401,0.92982,0.43751,0.46587,0.27386,1.47814,0.69487,1.68961,0.00143595,0.00143595,0.00143595
16,1274.84,1.15629,0.76396,1.32726,0.96791,0.46939,0.48837,0.29003,1.48766,0.62134,1.66893,0.00141945,0.00141945,0.00141945
17,1410.54,1.15961,0.73783,1.33414,0.97106,0.44898,0.48399,0.30486,1.34978,0.61423,1.54337,0.00140295,0.00140295,0.00140295
18,3213.55,1.13577,0.72979,1.32609,0.9551,0.42857,0.47373,0.2977,1.38438,0.65147,1.64495,0.00138644,0.00138644,0.00138644
19,3414.31,1.11632,0.71265,1.30993,0.96536,0.43878,0.49092,0.31246,1.25542,0.57353,1.50042,0.00136994,0.00136994,0.00136994
20,3527.88,1.12534,0.7189,1.3175,0.95588,0.42175,0.4698,0.28217,1.37681,0.65977,1.70287,0.00135344,0.00135344,0.00135344
21,3635.76,1.11298,0.71166,1.30506,0.9494,0.43878,0.48244,0.32896,1.22483,0.62528,1.4855,0.00133693,0.00133693,0.00133693
22,3719.46,1.09154,0.69783,1.29314,0.97701,0.39796,0.46913,0.29935,1.34459,0.67308,1.57194,0.00132043,0.00132043,0.00132043
23,3833.49,1.06723,0.67937,1.27357,0.95796,0.42857,0.48362,0.31803,1.23497,0.61053,1.48272,0.00130393,0.00130393,0.00130393
24,3933.61,1.10713,0.71623,1.30119,0.96555,0.45918,0.4805,0.31291,1.30001,0.69812,1.52164,0.00128742,0.00128742,0.00128742
25,4016.51,1.08091,0.67251,1.28123,0.96289,0.41837,0.47276,0.28625,1.4405,0.7068,1.64292,0.00127092,0.00127092,0.00127092
26,4076.15,1.08081,0.68277,1.2689,0.97778,0.43872,0.4861,0.32183,1.30436,0.58977,1.59733,0.00125442,0.00125442,0.00125442
27,4156.22,1.04917,0.66749,1.26932,0.98879,0.44486,0.48435,0.3128,1.37799,0.6241,1.58058,0.00123791,0.00123791,0.00123791
28,4237.28,1.04195,0.6526,1.25544,0.94028,0.45918,0.48001,0.29251,1.38488,0.57538,1.65096,0.00122141,0.00122141,0.00122141
29,4324.25,1.03892,0.63682,1.24356,0.98977,0.48839,0.49526,0.3157,1.36483,0.50374,1.58469,0.00120491,0.00120491,0.00120491
30,4411.24,1.04734,0.65507,1.26123,1,0.445,0.49095,0.31213,1.34972,0.61044,1.55794,0.0011884,0.0011884,0.0011884
31,4494.02,1.02146,0.6152,1.24515,0.95765,0.46939,0.48245,0.31272,1.35822,0.55679,1.61472,0.0011719,0.0011719,0.0011719
32,4575.13,1.02056,0.62285,1.24674,0.45981,0.46696,0.48224,0.31339,1.41022,0.56946,1.68938,0.0011554,0.0011554,0.0011554
33,4656.32,1.00867,0.61413,1.24109,0.93495,0.47762,0.48227,0.30677,1.39709,0.54026,1.67226,0.00113889,0.00113889,0.00113889
34,4744.04,1.00346,0.61637,1.23355,0.95162,0.47631,0.47826,0.27545,1.57044,0.62655,1.87087,0.00112239,0.00112239,0.00112239
35,4824.88,0.98903,0.5943,1.20397,0.98928,0.46587,0.48569,0.29588,1.42663,0.55151,1.69593,0.00110589,0.00110589,0.00110589
36,4909.96,0.97454,0.58751,1.21783,0.97791,0.46939,0.48416,0.31019,1.3723,0.52468,1.62391,0.00108938,0.00108938,0.00108938
37,4990.86,0.97682,0.59348,1.21173,0.46979,0.47611,0.48274,0.28804,1.47858,0.55845,1.75537,0.00107288,0.00107288,0.00107288
38,5061.33,0.96331,0.57721,1.20772,0.96098,0.5,0.49375,0.31883,1.37393,0.58503,1.66192,0.00105638,0.00105638,0.00105638
39,5142.07,0.96914,0.588,1.19929,0.99413,0.43878,0.47911,0.31246,1.40896,0.51035,1.7187,0.00103987,0.00103987,0.00103987
40,5230.61,0.94973,0.56448,1.19389,0.96674,0.46939,0.4842,0.29894,1.38567,0.51786,1.78413,0.00102337,0.00102337,0.00102337
41,5314.42,0.91886,0.54451,1.17616,0.97655,0.44898,0.48779,0.31642,1.33344,0.54891,1.62221,0.00100687,0.00100687,0.00100687
42,5400.36,0.93396,0.54758,1.18555,0.98876,0.44389,0.48812,0.30895,1.38323,0.51913,1.70552,0.000990365,0.000990365,0.000990365
43,5483.68,0.9301,0.55162,1.18078,0.98756,0.43878,0.48242,0.30519,1.4181,0.57625,1.79072,0.000973861,0.000973861,0.000973861
44,5561.17,0.91956,0.52565,1.17542,0.96051,0.47603,0.49047,0.30867,1.44301,0.55501,1.72712,0.000957358,0.000957358,0.000957358
45,5642.11,0.90085,0.54042,1.17174,0.98934,0.4683,0.48417,0.30331,1.45845,0.58001,1.78133,0.000940855,0.000940855,0.000940855
46,5726.47,0.92086,0.52558,1.17817,0.97852,0.45462,0.48371,0.31433,1.38872,0.4909,1.69018,0.000924352,0.000924352,0.000924352
47,5808.61,0.90331,0.53332,1.16885,0.4769,0.47959,0.48474,0.3257,1.35013,0.46283,1.73222,0.000907848,0.000907848,0.000907848
48,5893.56,0.86921,0.50327,1.15152,0.98824,0.42371,0.48605,0.30981,1.38631,0.55048,1.73736,0.000891345,0.000891345,0.000891345
49,5977.4,0.88605,0.51953,1.15732,0.98681,0.5,0.4965,0.30224,1.47024,0.51204,1.73858,0.000874842,0.000874842,0.000874842
50,6051.74,0.87144,0.50585,1.1592,0.97838,0.47959,0.49131,0.31452,1.46686,0.46657,1.81628,0.000858338,0.000858338,0.000858338
51,6131.84,0.8809,0.51,1.15242,0.97956,0.47886,0.49133,0.30354,1.49145,0.52806,1.78678,0.000841835,0.000841835,0.000841835
52,6231.87,0.87383,0.51658,1.15092,0.97052,0.48857,0.49312,0.31067,1.42566,0.54844,1.70696,0.000825332,0.000825332,0.000825332
53,6314.11,0.8455,0.49403,1.13202,0.95689,0.46939,0.48984,0.32433,1.35953,0.50632,1.70565,0.000808828,0.000808828,0.000808828
54,6401.53,0.83985,0.4951,1.13439,0.98935,0.46888,0.49099,0.31527,1.40022,0.49632,1.77945,0.000792325,0.000792325,0.000792325
55,6483.02,0.8647,0.50741,1.14171,0.97956,0.47877,0.48957,0.30262,1.47337,0.51797,1.82002,0.000775822,0.000775822,0.000775822
56,6551.98,0.84115,0.48729,1.12762,0.98998,0.49914,0.4969,0.30624,1.43698,0.49247,1.76217,0.000759318,0.000759318,0.000759318
57,6637.26,0.83939,0.47439,1.12058,0.97056,0.4898,0.48955,0.31405,1.3832,0.51594,1.7416,0.000742815,0.000742815,0.000742815
